GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
r2dbc-postgresql,co.com.nequi.franchise.r2dbc.adapter,ProductRepositoryAdapter,0,50,0,0,0,13,0,5,0,5
r2dbc-postgresql,co.com.nequi.franchise.r2dbc.adapter,FranchiseRepositoryAdapter,0,40,0,0,0,10,0,4,0,4
r2dbc-postgresql,co.com.nequi.franchise.r2dbc.adapter,BranchRepositoryAdapter,0,32,0,0,0,9,0,3,0,3
r2dbc-postgresql,co.com.nequi.franchise.r2dbc.resilience,ResilienceDecorator,0,46,0,0,0,13,0,3,0,3
r2dbc-postgresql,co.com.nequi.franchise.r2dbc.mapper,EntityMapper,0,90,0,0,0,37,0,7,0,7
